authority_version	tuple_number	diff_direction	requirement_id	object_kind	database_name	schema_name	object_identity	owner_identity	grantee_identity	privilege	grantable	hierarchy_inheritance_flag	object_acl_type_code	classification	first_authorizing_migration_or_contract	later_reauthorizing_migration_or_contract	checked_in_evidence
post064-h1-acl-composition-v1	1	actual_minus_expected	H1-ACL-COLUMNS	column	*	public	public.campaign_operations_dispatch_attempt.attempt_contract_version	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	2	actual_minus_expected	H1-ACL-COLUMNS	column	*	public	public.campaign_operations_dispatch_attempt.attempt_identity_canonical	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	3	actual_minus_expected	H1-ACL-COLUMNS	column	*	public	public.campaign_operations_dispatch_attempt.attempt_identity_hash	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	4	actual_minus_expected	H1-ACL-COLUMNS	column	*	public	public.campaign_operations_dispatch_attempt.attempt_ordinal	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	5	actual_minus_expected	H1-ACL-COLUMNS	column	*	public	public.campaign_operations_dispatch_attempt.dispatcher_identity	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	6	actual_minus_expected	H1-ACL-COLUMNS	column	*	public	public.campaign_operations_dispatch_attempt.expected_request_version	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	7	actual_minus_expected	H1-ACL-COLUMNS	column	*	public	public.campaign_operations_dispatch_attempt.lease_expires_at	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	8	actual_minus_expected	H1-ACL-COLUMNS	column	*	public	public.campaign_operations_dispatch_attempt.lease_token_digest	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	9	actual_minus_expected	H1-ACL-COLUMNS	column	*	public	public.campaign_operations_dispatch_attempt.operational_request_id	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	10	actual_minus_expected	H1-ACL-COLUMNS	column	*	public	public.campaign_operations_dispatch_attempt.request_identity_canonical	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	11	actual_minus_expected	H1-ACL-COLUMNS	column	*	public	public.campaign_operations_dispatch_attempt.resulting_request_version	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	12	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.actor_identity	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	13	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.actor_identity	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	14	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.actor_identity	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332
post064-h1-acl-composition-v1	15	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.capability	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	16	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.capability	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	17	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.capability	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332
post064-h1-acl-composition-v1	18	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.cause_kind	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	19	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.cause_kind	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	20	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.cause_kind	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332
post064-h1-acl-composition-v1	21	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.diagnostic_code	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	22	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.diagnostic_code	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	23	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.diagnostic_code	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332
post064-h1-acl-composition-v1	24	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.dispatch_attempt_id	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	25	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.dispatch_attempt_id	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	26	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.dispatch_attempt_id	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332
post064-h1-acl-composition-v1	27	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.dispatch_attempt_outcome_id	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	28	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.dispatch_attempt_outcome_id	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
post064-h1-acl-composition-v1	29	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.dispatch_attempt_outcome_id	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332
post064-h1-acl-composition-v1	30	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	*	public	public.campaign_operations_dispatch_audit_reference_event.operational_campaign_id	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346
