tuple_number	diff_direction	requirement_id	object_kind	database_name	schema_name	object_identity	owner_identity	grantee_identity	privilege	grantable	hierarchy_inheritance_flag	object_acl_type_code	classification	first_authorizing_migration_or_contract	055_effect	later_reauthorizing_migration_or_contract	checked_in_evidence	rationale	post_h1_composition_disposition
1	actual_minus_expected	H1-ACL-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_attempt.attempt_contract_version	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
2	actual_minus_expected	H1-ACL-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_attempt.attempt_identity_canonical	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
3	actual_minus_expected	H1-ACL-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_attempt.attempt_identity_hash	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
4	actual_minus_expected	H1-ACL-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_attempt.attempt_ordinal	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
5	actual_minus_expected	H1-ACL-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_attempt.dispatcher_identity	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
6	actual_minus_expected	H1-ACL-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_attempt.expected_request_version	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
7	actual_minus_expected	H1-ACL-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_attempt.lease_expires_at	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
8	actual_minus_expected	H1-ACL-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_attempt.lease_token_digest	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
9	actual_minus_expected	H1-ACL-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_attempt.operational_request_id	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
10	actual_minus_expected	H1-ACL-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_attempt.request_identity_canonical	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
11	actual_minus_expected	H1-ACL-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_attempt.resulting_request_version	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
12	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.actor_identity	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
13	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.actor_identity	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	INSERT	f	f		A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
14	actual_minus_expected	H1-ACL-DISPATCH-AUDIT-COLUMNS	column	LSTM	public	public.campaign_operations_dispatch_audit_reference_event.actor_identity	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	INSERT	f	f		B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
